Month;Locations
('2021', 'July');['New York City', 'Hong Kong', 'Shanghai', 'Tokyo', 'Osaka', 'Amsterdam', 'Brussels', 'Dublin', 'Lisbon', 'Milan', 'Oslo', 'Paris', 'Shenzhen', 'London', 'Mumbai', 'Toronto', 'Riyadh', 'Frankfurt', 'Seoul', 'Busan', 'Zurich', 'Taipei', 'Sydney', 'Johannesburg']
('2021', 'June');['New York City', 'Hong Kong', 'Shanghai', 'Tokyo', 'Osaka', 'Amsterdam', 'Brussels', 'Dublin', 'Lisbon', 'Milan', 'Oslo', 'Paris', 'Shenzhen', 'London', 'Mumbai', 'Toronto', 'Riyadh', 'Frankfurt', 'Seoul', 'Busan', 'Zurich', 'Taipei', 'Sydney', 'Johannesburg']
('2021', 'May');['New York City', 'Hong Kong', 'Shanghai', 'Tokyo', 'Osaka', 'Amsterdam', 'Brussels', 'Dublin', 'Lisbon', 'Milan', 'Oslo', 'Paris', 'Shenzhen', 'London', 'Mumbai', 'Toronto', 'Riyadh', 'Frankfurt', 'Seoul', 'Busan', 'Zurich', 'Taipei', 'Sydney', 'Johannesburg']
('2021', 'April');['New York City', 'Tokyo', 'Osaka', 'London', 'Milan', 'Shanghai', 'Hong Kong', 'Amsterdam', 'Brussels', 'Dublin', 'Lisbon', 'Oslo', 'Paris', 'Toronto', 'Shenzhen', 'Mumbai', 'Frankfurt', 'Zurich', 'Seoul', 'Busan', 'Sydney', 'Taipei', 'São Paulo', 'Johannesburg', 'Madrid', 'Singapore', 'Moscow', 'Bangkok', 'Mexico City', 'Jakarta']
('2021', 'March');['New York City', 'Tokyo', 'Osaka', 'London', 'Milan', 'Shanghai', 'Hong Kong', 'Amsterdam', 'Brussels', 'Dublin', 'Lisbon', 'Oslo', 'Paris', 'Toronto', 'Shenzhen', 'Mumbai', 'Frankfurt', 'Zurich', 'Seoul', 'Busan', 'Sydney', 'Taipei', 'São Paulo', 'Johannesburg', 'Madrid', 'Singapore', 'Moscow', 'Bangkok', 'Mexico City', 'Jakarta']
('2021', 'February');['New York City', 'Tokyo', 'Osaka', 'London', 'Milan', 'Shanghai', 'Hong Kong', 'Amsterdam', 'Brussels', 'Dublin', 'Lisbon', 'Oslo', 'Paris', 'Toronto', 'Shenzhen', 'Mumbai', 'Frankfurt', 'Zurich', 'Seoul', 'Busan', 'Sydney', 'Taipei', 'São Paulo', 'Johannesburg', 'Madrid', 'Singapore', 'Moscow', 'Bangkok', 'Mexico City', 'Jakarta']
('2021', 'January');['New York City', 'Tokyo', 'Osaka', 'London', 'Milan', 'Shanghai', 'Hong Kong', 'Amsterdam', 'Brussels', 'Dublin', 'Lisbon', 'Oslo', 'Paris', 'Toronto', 'Shenzhen', 'Mumbai', 'Frankfurt', 'Zurich', 'Seoul', 'Busan', 'Sydney', 'Taipei', 'São Paulo', 'Johannesburg', 'Madrid', 'Singapore', 'Moscow', 'Bangkok', 'Mexico City', 'Jakarta']
('2020', 'December');['New York City', 'Tokyo', 'Osaka', 'London', 'Milan', 'Shanghai', 'Hong Kong', 'Amsterdam', 'Brussels', 'Dublin', 'Lisbon', 'Oslo', 'Paris', 'Toronto', 'Shenzhen', 'Mumbai', 'Frankfurt', 'Zurich', 'Seoul', 'Busan', 'Sydney', 'Taipei', 'São Paulo', 'Johannesburg', 'Madrid', 'Singapore', 'Moscow', 'Bangkok', 'Mexico City', 'Jakarta']
('2020', 'October');['New York City', 'Tokyo', 'Osaka', 'London', 'Milan', 'Shanghai', 'Hong Kong', 'Amsterdam', 'Brussels', 'Dublin', 'Lisbon', 'Oslo', 'Paris', 'Toronto', 'Shenzhen', 'Mumbai', 'Frankfurt', 'Zurich', 'Seoul', 'Busan', 'Sydney', 'Taipei', 'São Paulo', 'Johannesburg', 'Madrid', 'Singapore', 'Moscow', 'Bangkok', 'Mexico City', 'Jakarta']
('2020', 'September');['New York City', 'Tokyo', 'Osaka', 'London', 'Milan', 'Shanghai', 'Hong Kong', 'Amsterdam', 'Brussels', 'Dublin', 'Lisbon', 'Oslo', 'Paris', 'Toronto', 'Shenzhen', 'Mumbai', 'Frankfurt', 'Zurich', 'Seoul', 'Busan', 'Sydney', 'Taipei', 'São Paulo', 'Johannesburg', 'Madrid', 'Singapore', 'Moscow', 'Bangkok', 'Mexico City', 'Jakarta']
('2020', 'August');['Market place', 'New York City', 'Tokyo', 'Osaka', 'London', 'Milan', 'Shanghai', 'Hong Kong', 'Amsterdam', 'Brussels', 'Dublin', 'Lisbon', 'Oslo', 'Paris', 'Shenzhen', 'Toronto', 'Mumbai', 'Frankfurt', 'Zurich', 'Seoul', 'Busan', 'Sydney', 'Taipei', 'São Paulo', 'Johannesburg', 'Madrid', 'Singapore', 'Moscow', 'Bangkok', 'Mexico City', 'Jakarta']
